course,section,sectioncapacity,dow,startingtime,duration,room,firstname,lastname
COMP1103,1,50,Tuesday,8:30,1:30,W316,Alan,Fedoruk
COMP1103,1,50,Thursday,8:30,1:30,W316,Alan,Fedoruk
COMP1103,501,25,Wednesday,9:00,1:00,E203,Alan,Fedoruk
COMP1103,502,25,Monday,8:30,1:00,E203,Alan,Fedoruk
COMP1103,2,50,Monday,16:00,1:30,W316,TBA-COMP1103-2,TBA-COMP1103-2
COMP1103,2,50,Wednesday,16:00,1:30,W316,TBA-COMP1103-2,TBA-COMP1103-2
COMP1103,503,25,Friday,12:30,1:00,E203,TBA-COMP1103-503,TBA-COMP1103-503
COMP1103,504,25,Thursday,16:30,1:00,E203,TBA-COMP1103-504,TBA-COMP1103-504
COMP1103,3,50,Monday,16:00,1:30,W322,TBA-COMP1103-3,TBA-COMP1103-3
COMP1103,3,50,Wednesday,16:00,1:30,W322,TBA-COMP1103-3,TBA-COMP1103-3
COMP1103,505,25,Thursday,15:30,1:00,E203,TBA-COMP1103-505,TBA-COMP1103-505
COMP1103,506,25,Tuesday,15:30,1:00,E203,TBA-COMP1103-506,TBA-COMP1103-506
COMP1501,1,60,Tuesday,13:00,1:30,W231,TBA-COMP1501-1,TBA-COMP1501-1
COMP1501,1,60,Thursday,13:00,1:30,W231,TBA-COMP1501-1,TBA-COMP1501-1
COMP1501,401,20,Wednesday,12:00,1:00,B107,TBA-COMP1501-401,TBA-COMP1501-401
COMP1501,402,20,Wednesday,15:00,1:00,B107,TBA-COMP1501-402,TBA-COMP1501-402
COMP1501,403,20,Wednesday,8:30,1:00,B162,TBA-COMP1501-403,TBA-COMP1501-403
COMP1501,501,20,Friday,14:00,1:00,B107,TBA-COMP1501-501,TBA-COMP1501-501
COMP1501,502,20,Friday,10:00,1:00,B162,TBA-COMP1501-502,TBA-COMP1501-502
COMP1501,503,20,Friday,8:30,1:00,B162,TBA-COMP1501-503,TBA-COMP1501-503
COMP1502,1,40,Monday,11:30,1:30,T235,Khosro,Salmani
COMP1502,1,40,Wednesday,11:30,1:30,T235,Khosro,Salmani
COMP1502,401,20,Tuesday,10:00,1:00,B107,Khosro,Salmani
COMP1502,402,20,Tuesday,11:00,1:00,B107,Khosro,Salmani
COMP1502,501,20,Thursday,10:00,1:00,B107,Khosro,Salmani
COMP1502,502,20,Thursday,11:00,1:00,B107,Khosro,Salmani
COMP1502,2,40,Tuesday,11:30,1:30,EB1006,TBA-COMP1502-2,TBA-COMP1502-2
COMP1502,2,40,Thursday,11:30,1:30,EB1006,TBA-COMP1502-2,TBA-COMP1502-2
COMP1502,403,20,Thursday,14:00,1:00,B107,TBA-COMP1502-403,TBA-COMP1502-403
COMP1502,404,20,Thursday,15:00,1:00,B107,TBA-COMP1502-404,TBA-COMP1502-404
COMP1502,503,20,Friday,12:00,1:00,B107,TBA-COMP1502-503,TBA-COMP1502-503
COMP1502,504,20,Friday,13:00,1:00,B107,TBA-COMP1502-504,TBA-COMP1502-504
COMP1502,3,40,Monday,10:00,1:30,T133,Namrata,Khemka
COMP1502,3,40,Wednesday,10:00,1:30,T133,Namrata,Khemka
COMP1502,405,20,Tuesday,12:00,1:00,B107,Namrata,Khemka
COMP1502,406,20,Tuesday,13:00,1:00,B107,Namrata,Khemka
COMP1502,505,20,Friday,10:00,1:00,B107,Namrata,Khemka
COMP1502,506,20,Friday,11:00,1:00,B107,Namrata,Khemka
COMP1633,1,40,Monday,10:00,1:30,T225,Charlotte,Curtis
COMP1633,1,40,Wednesday,10:00,1:30,T225,Charlotte,Curtis
COMP1633,401,20,Tuesday,10:00,1:00,B160,Charlotte,Curtis
COMP1633,401,20,Thursday,10:00,1:00,B160,Charlotte,Curtis
COMP1633,402,20,Tuesday,11:00,1:00,B160,Charlotte,Curtis
COMP1633,402,20,Thursday,11:00,1:00,B160,Charlotte,Curtis
COMP1633,2,40,Tuesday,16:00,1:30,T239,Eric,Chalmers
COMP1633,2,40,Thursday,16:00,1:30,T239,Eric,Chalmers
COMP1633,403,20,Wednesday,15:00,1:00,B160,Eric,Chalmers
COMP1633,403,20,Friday,15:00,1:00,B160,Eric,Chalmers
COMP1633,404,20,Wednesday,9:00,1:00,EA2012,Eric,Chalmers
COMP1633,404,20,Friday,9:00,1:00,EA2012,Eric,Chalmers
COMP2001,1,50,Monday,13:00,1:30,T107,Patrick,Perri
COMP2001,1,50,Wednesday,13:00,1:30,T107,Patrick,Perri
COMP2001,401,25,Tuesday,8:30,1:00,B162,Patrick,Perri
COMP2001,401,25,Thursday,8:30,1:00,B162,Patrick,Perri
COMP2001,402,25,Tuesday,9:30,1:00,B162,Patrick,Perri
COMP2001,402,25,Thursday,9:30,1:00,B162,Patrick,Perri
COMP2008,1,48,Tuesday,13:00,1:30,T223,Patrick,Perri
COMP2008,1,48,Thursday,13:00,1:30,T223,Patrick,Perri
COMP2008,401,24,Friday,11:30,1:00,E203,Patrick,Perri
COMP2008,402,24,Wednesday,11:30,1:00,E203,Patrick,Perri
COMP2503,1,40,Tuesday,8:30,1:30,EB3126,Maryam,Elahi
COMP2503,1,40,Thursday,8:30,1:30,EB3126,Maryam,Elahi
COMP2503,401,20,Friday,11:00,1:00,B162,Maryam,Elahi
COMP2503,402,20,Friday,12:00,1:00,B162,Maryam,Elahi
COMP2511,1,40,Monday,14:30,1:30,T235,Yasaman,Amannejad
COMP2511,1,40,Wednesday,14:30,1:30,T235,Yasaman,Amannejad
COMP2511,501,20,Thursday,12:00,1:00,B107,Yasaman,Amannejad
COMP2511,502,20,Thursday,13:00,1:00,B107,Yasaman,Amannejad
COMP2511,2,40,Tuesday,10:00,1:30,EB3130,TBA-COMP2511-2,TBA-COMP2511-2
COMP2511,2,40,Thursday,10:00,1:30,EB3130,TBA-COMP2511-2,TBA-COMP2511-2
COMP2511,503,20,Wednesday,10:00,1:00,B107,TBA-COMP2511-503,TBA-COMP2511-503
COMP2511,504,20,Wednesday,11:00,1:00,B107,TBA-COMP2511-504,TBA-COMP2511-504
COMP2511,3,40,Tuesday,11:30,1:30,T107,TBA-COMP2511-3,TBA-COMP2511-3
COMP2511,3,40,Thursday,11:30,1:30,T107,TBA-COMP2511-3,TBA-COMP2511-3
COMP2511,505,20,Wednesday,13:00,1:00,B107,Khosro,Salmani
COMP2511,506,20,Wednesday,14:00,1:00,B107,TBA-COMP2511-506,TBA-COMP2511-506
COMP2521,1,40,Monday,11:30,1:30,T241,Shoba,Ittyipe
COMP2521,1,40,Wednesday,11:30,1:30,T241,Shoba,Ittyipe
COMP2521,401,20,Thursday,16:00,1:00,B162,Shoba,Ittyipe
COMP2521,402,20,Thursday,15:00,1:00,B162,Shoba,Ittyipe
COMP2521,2,40,Monday,10:00,1:30,T241,Mingwei,Gong
COMP2521,2,40,Wednesday,10:00,1:30,T241,Mingwei,Gong
COMP2521,403,20,Tuesday,11:30,1:00,B162,Mingwei,Gong
COMP2521,404,20,Tuesday,10:30,1:00,B162,Mingwei,Gong
COMP2531,1,40,Monday,8:30,1:30,T133,Namrata,Khemka
COMP2531,1,40,Wednesday,8:30,1:30,T133,Namrata,Khemka
COMP2531,501,20,Tuesday,14:00,1:00,B162,Namrata,Khemka
COMP2531,502,20,Tuesday,15:00,1:00,B162,Namrata,Khemka
COMP2541,1,40,Monday,13:00,1:30,T133,Shoba,Ittyipe
COMP2541,1,40,Wednesday,13:00,1:30,T133,Shoba,Ittyipe
COMP2541,401,20,Thursday,13:30,1:00,E203,Shoba,Ittyipe
COMP2541,402,20,Thursday,12:30,1:00,E203,Shoba,Ittyipe
COMP2541,2,40,Monday,16:00,1:30,T137,Faith-Michael,Uzoka
COMP2541,2,40,Wednesday,16:00,1:30,T137,Faith-Michael,Uzoka
COMP2541,403,20,Friday,16:00,1:00,B162,Faith-Michael,Uzoka
COMP2541,404,20,Friday,15:00,1:00,B162,Faith-Michael,Uzoka
COMP2631,1,30,Monday,16:00,1:30,E131,Charles,Hepler
COMP2631,1,30,Wednesday,16:00,1:30,E131,Charles,Hepler
COMP2631,401,30,Tuesday,12:30,2:00,E203,Charles,Hepler
COMP2633,1,30,Tuesday,8:30,1:30,E206,Faith-Michael,Uzoka
COMP2633,1,30,Thursday,8:30,1:30,E206,Faith-Michael,Uzoka
COMP2633,401,30,Thursday,10:30,2:00,B162,Faith-Michael,Uzoka
COMP2633,2,30,Monday,13:00,1:30,E206,Namrata,Khemka
COMP2633,2,30,Wednesday,13:00,1:30,E206,Namrata,Khemka
COMP2633,402,30,Thursday,12:30,2:00,B162,Namrata,Khemka
COMP2655,1,30,Monday,10:30,1:00,E206,Paul,Pospisil
COMP2655,1,30,Wednesday,10:30,1:00,E206,Paul,Pospisil
COMP2655,1,30,Friday,10:30,1:00,E206,Paul,Pospisil
COMP2655,401,30,Tuesday,9:30,1:00,E203,Paul,Pospisil
COMP2655,401,30,Thursday,9:30,1:00,E203,Paul,Pospisil
COMP2659,1,30,Monday,15:30,1:00,EA2070,Paul,Pospisil
COMP2659,1,30,Tuesday,15:30,1:00,EA2070,Paul,Pospisil
COMP2659,1,30,Thursday,15:30,1:00,EA2070,Paul,Pospisil
COMP2659,401,30,Wednesday,14:30,1:00,E203,Paul,Pospisil
COMP2659,501,30,Friday,8:30,1:00,E203,Paul,Pospisil
COMP2659,2,30,Monday,14:30,1:00,E203,Marc,Schroeder
COMP2659,2,30,Tuesday,14:30,1:00,E203,Marc,Schroeder
COMP2659,2,30,Thursday,14:30,1:00,E203,Marc,Schroeder
COMP2659,402,30,Tuesday,10:30,1:00,E203,Marc,Schroeder
COMP2659,502,30,Friday,15:00,1:00,E203,Marc,Schroeder
COMP3012,1,35,Tuesday,19:00,3:00,E203,TBA-COMP3012-1,TBA-COMP3012-1
COMP3012,401,35,Tuesday,17:00,1:00,E203,TBA-COMP3012-401,TBA-COMP3012-401
COMP3309,1,40,Tuesday,11:30,1:30,T239,Alan,Fedoruk
COMP3309,1,40,Thursday,11:30,1:30,T239,Alan,Fedoruk
COMP3309,2,40,Monday,13:00,1:30,T235,TBA-COMP3309-2,TBA-COMP3309-2
COMP3309,2,40,Wednesday,13:00,1:30,T235,TBA-COMP3309-2,TBA-COMP3309-2
COMP3309,3,40,Tuesday,8:30,1:30,T239,Randy,Connolly
COMP3309,3,40,Thursday,8:30,1:30,T239,Randy,Connolly
COMP3505,1,40,Monday,13:00,1:30,E203,Yasaman,Amannejad
COMP3505,1,40,Wednesday,13:00,1:30,E203,Yasaman,Amannejad
COMP3505,501,20,Thursday,14:00,1:00,B160,Yasaman,Amannejad
COMP3505,502,20,Thursday,15:00,1:00,B160,Yasaman,Amannejad
COMP3512,1,40,Monday,16:00,1:30,T239,Randy,Connolly
COMP3512,1,40,Wednesday,16:00,1:30,T239,Randy,Connolly
COMP3512,401,20,Friday,15:00,1:00,B107,Randy,Connolly
COMP3512,402,20,Friday,16:00,1:00,B107,Randy,Connolly
COMP3532,1,44,Tuesday,8:30,1:30,EA1053,TBA-COMP3532-1,TBA-COMP3532-1
COMP3532,1,44,Thursday,8:30,1:30,EA1053,TBA-COMP3532-1,TBA-COMP3532-1
COMP3532,501,22,Monday,14:30,1:00,B162,TBA-COMP3532-501,TBA-COMP3532-501
COMP3532,502,22,Monday,10:00,1:00,B162,TBA-COMP3532-502,TBA-COMP3532-502
COMP3533,1,44,Monday,8:30,1:30,B220,Mingwei,Gong
COMP3533,1,44,Wednesday,8:30,1:30,B220,Mingwei,Gong
COMP3533,501,22,Tuesday,16:00,1:00,B162,Mingwei,Gong
COMP3533,502,22,Tuesday,13:00,1:00,B160,Mingwei,Gong
COMP3553,1,40,Monday,11:30,1:30,T225,Randy,Connolly
COMP3553,1,40,Wednesday,11:30,1:30,T225,Randy,Connolly
COMP3553,401,20,Friday,9:30,1:00,E203,TBA-COMP3553-401,TBA-COMP3553-401
COMP3553,402,20,Friday,10:30,1:00,E203,TBA-COMP3553-402,TBA-COMP3553-402
COMP3614,1,30,Tuesday,14:30,1:30,B231,Charles,Hepler
COMP3614,1,30,Thursday,14:30,1:30,B231,Charles,Hepler
COMP3614,401,30,Friday,8:30,1:00,E123,Charles,Hepler
COMP3649,1,30,Tuesday,16:00,1:30,E131,Marc,Schroeder
